key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_3.keys,key_resp_3.rt
space,19.639,space,9.07,98,0,0,0,0,1,Kevin,001,2020-11-28_13h49.09.657,main,2020.2.5,MacIntel,60,IwAR2bIUi0ZEsgfK50NDFHAvNhWyMxW43tViLzPKOhpfxAX1yDwAio7dg3ahA,,
,,,,,,,,,,Kevin,001,2020-11-28_13h49.09.657,main,2020.2.5,MacIntel,60,IwAR2bIUi0ZEsgfK50NDFHAvNhWyMxW43tViLzPKOhpfxAX1yDwAio7dg3ahA,y,5.852
