key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_3.keys,key_resp_3.rt
space,40.547805,space,527.946905,433,0,0,0,0,1,1,001,2020-12-10_13h40.13.139,main,2020.2.5,Win32,60,IwAR0sp-6DAWOeazLQ_tzpCHxRPUyiu988xZBk3_OOn72pFQl0IlCFQ5u9msI,,
,,,,,,,,,,1,001,2020-12-10_13h40.13.139,main,2020.2.5,Win32,60,IwAR0sp-6DAWOeazLQ_tzpCHxRPUyiu988xZBk3_OOn72pFQl0IlCFQ5u9msI,n,5.626005
